id,title,rating,review_text,location,hotel,label
0,Villa Katherina carretera de Cádiz,1,"Tanto yo como mi pareja hemos vivido una experiencia horrible pues  el jacuzzi nunca salía el agua caliente nos tiramos más de un día entero para poder meternos por primera vez en el jacuzzi, decir que es imposible vivir una buena experiencia en este jacuzzi pues tiene un olor a cañerías podridas que es muy desagradable y que te hace imposible pegarte un buen baño en el , cuando se lo comentabamos ala encargada llamada Ana nos chillaba , una mal educada, que sin respeto ninguno nos trató muy muy mal . No vayan nunca a este sitio es decepcionante y te sientes muy humillada . La luz de la habitación se hiba cada dos por tres ayer incluso en más de 6 ocasiones se fue .la encargada llamada ana no te deja ni tener el aire acondicionado puesto y solo quiere que llenes una vez el jacuzzi en todo el día..... una SINVERGUENZA DE CUIDADO MUCHO OJO ¡!…",Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia,Villa_Katerina,0
1,Malo,1,"Caro y malo.  No lo recomiendo. No hay grupo generador, ni siquiera luces de emergencia. No entiendo cómo puede estar habilitado. Me retiré a las 19:30 y me cobraron una estadía completa. Paré ahí por que tenía que trabajar en la fábrica del frente.  Es la última vez.",Cordoba_Province_of_Cordoba_Andalucia,Hotel_Xanaes,0
2,Finde carisimo,1,"Mi marido y yo fuimos a pasar un fin de semana a este hotel ya que me lo habian recomendado por la ubicación centrica del mismo. Decir que NO vale lo que piden, habitaciones carisimas, pequeñas, poco cómodas. Camas incomodas, baños con holor a tuberia, televisión minuscula y que decir del desayuno. Muy buen servicio pero muy mal desayuno, espacio limitado para todos los clientes que ese fin de semana nos alojabamos alli. Hasta el punto de que hubo gente que se marcho por no tener mesa donde sentarse. Muy triste. Nos sentimos estafados. No recomiendo este hotel.",Granada_Province_of_Granada_Andalucia,Hotel_Palacio_de_Los_Navas,0
3,Una vez y no más.,2,"Las comparaciones son odiosas pero he de decir que me ha sido invitable compararlo con otros hoteles. Esperaba mucho más de lo que realmente era, en las fotos todo pinta muy bien ,pero... primer inconveniente al entrar en el hotel te encontrarás con el comedor ,donde dependiendo de la hora que  llegues estarás con la maleta en medio de los camareros llevando los platos y mucha gente comiendo, no creo que sea de agrado ni para el cliente que está comiendo ni para el que lleva la maleta . Por otro lado la tele no funcionaba y otra cosa a destacar la habitación es más pequeña de lo que en la foto aparenta...",Granada_Province_of_Granada_Andalucia,Casa_Palacio_Pilar_del_Toro_Hotel,0
4,Nada que ver con las fotos,1,"La limpieza de la habitación es muy mala llegando dos veces a las dos de la tarde y la habitación aún sin hacer, al avisar de ello te dicen que es temporada alta. La zona donde se encuentra el hotel es zona azul, así que para aparcar lejos, disponen de parking pero te cobran 12 euros por día. Las sábanas no las han cambiado desde que hemos llegado (4 dias), y el baño lo limpian por encima no levantan ni la tapa. La playa está a más de 15 minutos andando. Las fotos no se corresponden en absoluto a la realidad. Por cierto la habitación tiene un olor a humedad que echa para atrás.",Almeria_Province_of_Almeria_Andalucia,Hotel_Embajador,0
5,Nada recomendable,1,"Nos hospedamos un grupo de amigos desde el viernes 2 de Marzo hasta el domingo 4. La experiencia ha sido bastante negativa. El hotel no es ninguna maravilla pero eso es lo de menos. La primera noche nos dieron las llaves de una habitación que no era nuestra y estaba durmiendo otro huésped. Al entrar a la habitación, lo despertamos y se asustó, con razón. Lo peor vino a la hora de marcharnos cuando tras pagar todos, escalonadamente porque nos fuimos en diferentes horarios, nos dicen que falta dinero. La chica de recepción nos confesó a las 8 de la mañana, cuando se fueron tres amigos, que no había dormido, que iba borracha que estaba cansada. Ahí está el problema. No había gente profesional trabajando y por eso surgen los problemas.",Cordoba_Province_of_Cordoba_Andalucia,Hotel_Gran_Plaza,0
6,NADA RECOMENDABLE. TENDRÉ SIEMPRE UN RECUERDO HORRILBE DE HUELVA POR CULPA DE ESTE HOTEL,1,"Realicé reserva en este hotel para los días 19-20 y 21 de agosto con la finalidad de pasar unos días por Huelva.  Llegamos al hotel el día 19 avanzada la tarde , realizamos la reserva y nos acomodamos en la habitación.  Durante mis vacaciones este verano he ido acompañada de mi ordenador de trabajo portátil, pues sin  el no hubiera podido salir de la oficina.  En fin, a la mañana siguiente ,como venia haciendo desde que salí de casa encendí mi ordenador para trabajar un rato antes de salir , lo cual hice y al terminar lo deje a cargar en un sillón que había en la habitación.  Volvimos al hotel por la tarde a descansar un rato  y ( como siempre hacia ) sobre las 4 o las 5 pm volví a coger el ordenador para trabajar un rato...  AYYYY  que disgusto, la pantalla de mi ordenador…",Huelva_Province_of_Huelva_Andalucia,Exe_Tartessos,0
7,"Nefasta experiencia, jamas  elijáis esta opción",1,"Llegamos para pasar 24 horas en Córdoba, al principio todo muy amable risas y bromas, nos dieron la habitación doble es decir para 2personas,cuando entramos nos queríamos morir,un hotel de carretera estaba mejor,era una habitación individual con una cama con servilletas detrás del cabecero.. mi mente piensa tantas cosas en ese momento...Nos disponemos a bajar para hablar con el señor por catalogarlo de alguna manera,primero nos dice que hemos pagado una individual,cuando le demostramos con reserva y cargo en el banco comparando con lo que vendía su pagina web se da cuenta de que llevamos razón,nos dice que lo siente pero que es lo que hay que si queremos otra hay que pagarla mas cara,ya que nuestra habitación la han vendido a un precio superior y es lo que hay, cabe destacar que…",Cordoba_Province_of_Cordoba_Andalucia,Hotel_Maximiano_Herculeo,0
8,Avoid this place,1,"Arroyo Frio is located in the heart of the biggest Spain's natural protected zone. You could expect a place like a quiet mountain resort, you are completely wrong. You will find a crowded, noisy and chaotic cheap beach camp, a pity. Avoid this place and enjoy the surroundings and the landscape.",Jaen_Province_of_Jaen_Andalucia,Apartamentos_Arroyo_Frio_La_Iruela,0
9,Entraron en el apartamento ,2,"Hemos pasado 4 amigas el fin de semana, hemos salido muy decepcionadas porque durante la estancia han entrado varías veces en el apartamento mientras nosotras salíamos a la ciudad y para colmo el último día (teníamos que dejar la habitación a las 12) dejamos las maletas y bajamos a desayunar y cuando volvimos al apartamento estaban limpiando habiendo movido las maletas y sin disculparse. Diciendo que pensaban que nos habíamos ido ya. Cuando estaban viendo las maletas y demás... Nos hemos quedado alucinadas. Está bien el apartamento pero no nos ha gustado eso.",Granada_Province_of_Granada_Andalucia,Pension_Venecia_Gomerez,0
