id,title,rating,review_text,location,hotel
0,La boda FATAL!!!,1,"Realizamos el aperitivo, la cena y el baile de nuestra boda en dicho hotel y salio casi todo horrible!! Lo que se suponia que deberia ser el dia mas importante de nuestra vida hicieron que fuese un autentico desastre. Empezando que no tienen el hotel acondicionado para realizar dichos eventos, sí mucho salon pero nada mas, tuvimos que cenar con las luces de las velas (muy romantico en pleno noviembre si) pero no en pleno junio casi a 40 grados... se iba la luz todo el rato y tuvieron que abrir las ventanas que dan al patio, menos la de los novios que no abria, yo como novia me caian las gotas de sudor como cosa mala. Pues asi toda la noche, sin aire acondicionado ni en las habitaciones... (que digo que para esas cosas existes unos aparatos llamados generadores) y para colmo de…",Seville_Province_of_Seville_Andalucia,OYO_Venta_del_Alto_Hotel_las_Cumbres
1,Agua fría y sucia,1,"Nos alojamos en este hotel mi pareja y yo porque teníamos un evento en este pueblo.  Cuando llegamos, el suelo de la habitación estaba sucio, con pelusas, el agua además de congelada, salía color rojizo, no tiene calefacción, tampoco aire acondicionado. Las instalaciones pésimas, muy antiguo. He estado en hoteles de 4 estrellas, por menos precio, le sobran estrellas a este hotel. Sin duda, no lo recomiendo, los demás invitados que se hospedaron comparten las mismas impresiones que nosotros.",Torre_del_Campo_Province_of_Jaen_Andalucia,Hotel_Torrezaf
2,Calor,1,"Mis suegros se quedaron anoche en la 310 y era una sauna, la caldera está pegada. La opcion era poner el aire acondicionado, ¡¿en noviembre?! ¡¡¡Y 70€!!! El trato muy bien y en general bien pero el calor insoportable. ",Seville_Province_of_Seville_Andalucia,Sercotel_Dona_Carmela_Hotel
3,El peor hostal en el que me he alojado.,1,"Me registré por dos noches, lo que me hizo llorar 68 euros por una habitación individual. No había aire acondicionado, solo un ventilador que no era fuerte, la habitación en sí era oscura y de diseño desagradable. (Tampoco hay acceso a una cocina u oferta de agua que pueda beber, no puede beber el agua en Almería). El personal de recepción era terrible, antipático y desagradable. Un hombre allí me vio cargar 3 maletas pesadas en diferentes cargas sin ofrecer ayuda debido a la falta de ascensor. También pedí usar su wifi para verificar en línea dónde podría encontrar mi próximo destino de albergue, sin embargo, esto fue demasiado para ellos, así que me echaron. Muy decepcionante, realmente no lo recomendaría.",Almeria_Province_of_Almeria_Andalucia,Hostal_Estacion
4,No muy bien,2,Hice la reserva para mis padres y otra pareja 3 noches. La ubicación muy bien. Pero en 3 días no cambiaron toallas no hicieron la cama ni limpiaron el baño. Además los dos primeros días no tenían agua caliente y les hicieron poco caso. Comentarios desagradabes por parte del personal por decirles que no habían hecho las camas. Una lástima porque tiene buenos comentarios. El precio es caro para un trato así. Tampoco les repostaron el gel de baño. No es una opinión  directamente mía...pero hice la reserva a mis padres y esta ha sido su opinion. Una pena.,Seville_Province_of_Seville_Andalucia,Pension_Las_Setas
5,No da confianza Covid-19 ,2,"Hemos estado varias veces hospedado y la experiencia por calidad/precio ha sido correcta sin alardes.Esta vez nos vamos con la certeza de no volver por la desconfianza en seguridad Covid que ofrece: había un evento comercial en la Sala Almanzor y algunos comerciales iban sin mascarilla, solo con una especie de pantalla de plástico de barbilla a nariz, dando vueltas por recepción, cafetería, etc sin que nadie del hotel les pidiera que se pusieran mascarilla, la higiénica al menos obligatoria, algo irresponsable en el confinamiento que vivimos y entrando y saliendo de la sala, vociferando dentro con la sala llena de personas, increible. Al mencionarlo en recepción la chica nos dice que se lo han dicho pero que le ha dicho que en otros NH lo dejan....o sea que clean& safe como…",Cordoba_Province_of_Cordoba_Andalucia,NH_Cordoba_Califa
6,"Establecimiento privado, de vez en cuando",1,"Estábamos visitando Sevilla el viernes 9 de Octubre sobre las 11 de la mañana y al pasar junto al hotel quisimos entrar paseando por los jardines para verlos y salir por la puerta opuesta, ambas estaban abiertas. Nada mas entrar nos sale al paso un vigilante de la empresa ILUNION que nos invita a irnos por donde hemos entrado, alegando que solo pueden entrar clientes, que era un establecimiento privado. A la hora volvimos a pasar y ya no estaba el vigilante. Por lo visto ya si se podía transitar por los jardines y para así evitar ser atropellado por los patinetes y bicicletas que deambulan por alrededor del hotel.",Seville_Province_of_Seville_Andalucia,Hotel_Alfonso_XIII_a_Luxury_Collection_Hotel_Seville
7,Meh.,2,"Fotos impresionantes pero la realidad se queda corta. Limpio en gran parte funcional pero muy espartano monótono / austero. Si IKEA hiciera celdas de prisión grandes, se verían así. El mini ""BAR"" gratis ES 2 latas de Heineken, coca cola, agua y jugo de frutas azucarado. El baño tiene una ducha muy mediocre, no un parche en el Grohe Rainshower. El aire acondicionado era centralmente ""mediado"" para ahorrar y la habitación se sentía muy mal ventilada. El personal de recepción no está realmente interesado / energía cero. Con un poco de color, muebles suaves y un mejor minibar (incluso si solo cobra el precio de costo) y nespresso / galletas en la habitación, este podría ser un gran 3 estrellas. Es limpio y de aspecto nuevo, pero solo me quedaría aquí una sola parada. No volveré",Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia,Hotel_Bro
8,Pésima atención al cliente,1,"Horroroso el trato recibido en recepción por dueño. Soberbio, prepotente y maleducado. Nos echó literalmente de recepción porque él no llevaba mascarilla ( nosotros por supuesto que sí) Además después de una semana llamando y no poder reservar ni por web porque eran 4 noches y no 5, llamamos a 1 hora, nos dijo chica recepción que había salidas y que llegáramos tempranito. Después de 400 km al llegar nos dice este señor que hay que apuntarse en una lista y que a partir de la 1 ( eran las 10 de la mañana ) se sabrá si hay sitio pero que él no asegura nada, todo de muy malas maneras, (la chica de recepción no levantaba la cabeza del mostrador) Cero organización Cero empatía Cero amabilidad Imposible describir la impotencia después de tanto días llamando. En la vida vuelvo. Nos…",Almeria_Province_of_Almeria_Andalucia,Campingred_Cabo_de_Gata
9,Para salir del paso de forma económica,2,"Al llegar la recepcionista fue muy amable, después para acceder a la habitación no hay ascensor, la instalación es muy antigua y las persianas son de madera que dejan entrar mucha luz y además hay mucho ruido. Quise poner la calefacción pero esa opción del aire no funcionaba, se lo dije a la recepcionista que antes había sido amable y ya no lo fue, me dijo que nadie se había quejado antes y que lo miraría pero nadie lo miró durante mi estancia y pasé frío. El tamaño de la habitación no está mal teniendo en cuenta que es económico pero el baño es muy muy pequeño, casi hay que entrar de lado, en cuanto a la ubicación es bastante buena.",Cordoba_Province_of_Cordoba_Andalucia,Hostal_Funky_By_Arc_House
10,Lo mejor la ubicación,2,"Está ubicado a pie de playa,el problema es que la playa es entera de piedras que se clavan. Es para ir con escarpines o te destrozas y quemas los pies.   El establecimiento está muy dejado, para los niños hay un tobogán sucio y viejo y hay una mesa de pimpón destartalada.   Si os dan a elegir parcela y necesitáis electricidad, aseguraos que tenéis una toma cerca. A nosotras no nos avisaron y teníamos que ir a cargar el móvil lejos porque las tomas cercanas estaban ocupadas y fue para lo único que pudimos utilizar la electricidad que habíamos pagado.  Los aseos generalmente estaban limpios pero no tenían control del papel, de pronto se acababa y hasta el día siguiente no había más.  Sin ningún tipo de actividad.   El supermercado cerrado, brilla por su ausencia.   El restaurante…",Almeria_Province_of_Almeria_Andalucia,Camping_La_Garrofa
11,Horrible,1,"Pasé 3 noches en este hotel con desayuno incluído. Dos de esos días tuvimos que desayunar fuera por la falta de higiene de los productos y la escasez.  La habitación llena de polvo, sábanas sucias y pelos en el baño. Algún día ni nos limpiaron ni nos hicieron la cama! Además el ruído es insoportable.  No lo recomiendo ni a mi peor enemigo.",Seville_Province_of_Seville_Andalucia,Pension_Nuevo_Suizo
12,Decepcionante,1,"Vistas inmejorables PERO la ducha estaba sucia (pelos en el suelo y geles abiertos usados por los anteriores huéspedes). También encontramos una lata de cerveza vacía en la habitación. El desayuno es horrible. Todo industrial, envasado y, encima, casi seco. Olvídense de tostadas, croissants o cualquier otro producto de repostería recién hecho. Café de cápsula malísimo. Pese a las fantásticas vistas de la habitación, ha sido una gran decepción. Sorprende que se ofrezca un servicio tan pésimo en un lugar que ofrece un primer plano de la Alhambra inmejorable. No volvería ni lo recomendaría.",Granada_Province_of_Granada_Andalucia,Rosa_de_Comares
13,POR ALGUNOS ASPECTOS NO ES RECOMENDABLE,2,"NO LO RECIMIENDO Estuvo en el hotel tres días por temas de trabajo y, la conclusión es que en varioa aspectos no es recomendable.  DESAYUNO: El cafe es malísimo, la bollería está muy mal horneada,  la fruta.... incomestible aguada y con pinta de llevar muchas horas cortada.  Al final tuve que desayunar fuera todos los días.  UBICACIÓN: Para solo dir.ir no está mal, pero si tienes en cue ta que wstá al lado de un hospital y que comparten el parkeng con este y con el Mercado, se podría decir que  o es lo mas encantador de Sevilla.  HABITACIÓN: La limpieza es correcta, el colchón cómodo, el baño amplio y limpio. ¿ El fallo?, que la ventana era directamente a las del horpital y a los megaventiladores de aire acondicionado con su ruido correspondiente. PERSONAL: Muy atentos y…",Seville_Province_of_Seville_Andalucia,Hotel_Exe_Sevilla_Palmera
14,Decepcionante,1,"Muy decepcionante, caro y decepcionante. La habitación era pequeña y en todas partes se podía hacer con una buena limpieza. La piscina no estaba en uso y estaba llena de hojas. Más adecuado para el viajero maduro, ya que no es para nada amigable para los niños.",Huelva_Province_of_Huelva_Andalucia,Finca_Buenvino
15,ME SIENTO ESTAFADO ,1,"No lo recomiendo , trato telefónico para cancelar reserva por problemas familiares horroroso , no se han dignado ni a cambiarme las fechas. Nada Humanos y difícil hablar con ellos por teléfono. Pregunte por la dirección del hotel y como es un negocio familiar no existe la figura. Cuidado con este hostal.",Cordoba_Province_of_Cordoba_Andalucia,Hotel_de_los_Faroles
16,El peor hotel que he estado en mi vida.,1,"Me dieron una habitación que estaba en mal estado (le faltaban cosas y había humedades y paredes en mal estado), además  la televisión era minúscula, la cisterna estaba estropeada (para tirar de ella tenías que levantar la tapa y empujar tú mismo), una de las toallas sucias, y para mi mayor sorpresa tenía compañía, una cucaracha correteando por la habitación. ¡¡¡Un desastre!!! Solución: ""es que el jefe no está, si te esperas y quieres comentárselo a él""... El personal simpático con el incidente pero definitivamente el peor sitio que he estado en mi vida.",Huelva_Province_of_Huelva_Andalucia,Hotel_Marina
